Island,Group,Atoll,island_abbreviation,atoll_abbreviation,island_snake,lat,lon,rats_f,size,nonf,wetl,natf,mish,sava,beac,nonf_percent,wetl_percent,natf_percent,mish_percent,sava_percent,beac_percent,Ardenna.pacifica,Puffinus.bailloni,Phaethon.lepturus,Phaethon.rubricauda,Sula.dactylatra,Sula.sula,Sula.leucogaster,Fregeta.minor,Fregeta.ariel,Thalasseus.bergii,Sterna.dougallii,Sterna.sumatrana,Sternula.albifrons,Onychoprion.anaethetus,Onychoprion.fuscatus,Anous.stolidus,Anous.tenuirostris,Gygis.alba,dist,inha,seabird_sp,seabird_abundance,Island_duplicates,forage_avail_2022,forage_avail_2023,forage_access_2022,forage_access_2023,forage_avail_mean,forage_access_mean,RFB_veg,RFB_veg_percent
Coin,Peros Banhos West,Peros Banhos,COIN,PEBA,coin,-5.454863,71.767985,present,125.5,115.395082280044,0,6.61,2.4,0,1.1,91.94827273310278,0,5.266932270916335,1.9123505976095616,0,0.8764940239043826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,10,20,3,1,3,51,Coin,45,51,83.97653172331155,85.60071147365112,48,84.78862159848134,9.01,7.179282868525897
Anglaise (PEBA),Peros Banhos West,Peros Banhos,ANGP,PEBA,anglaise_peba,-5.439542,71.753426,present,12,8.4,0,0,2.4,0.6,0.6,70,0,0,20,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,20,3,0,2,40,Anglaise,43,51,84.97315830388366,88.65742738073533,47,86.8152928423095,2.4,20
Gabrielle/Montpatre complex,Peros Banhos West,Peros Banhos,GAMC,PEBA,gabrielle_montpatre_complex,-5.42357,71.751793,present,4.5,2.25,0.09,0,1.66,0.14,0.36,50,2,0,36.888888888888886,3.111111111111111,8,0,0,0,0,0,0,0,0,0,10,0,1,0,0,0,2,0,2,3,0,4,15,Monpatre complex,43,50,86.33218421616898,86.33218421616898,46.5,86.33218421616898,1.75,38.888888888888886
Poule (PEBA),Peros Banhos West,Peros Banhos,POUP,PEBA,poule_peba,-5.40571,71.750948,present,108,60,0,2.6,32.4,10.8,2.16,55.55555555555556,0,2.407407407407407,30,10,2,0,0,1,0,0,0,0,0,0,0,3,2,0,0,0,8,0,2,3,0,5,16,Poule,42,49,86.81747628847289,87.3551633163573,45.5,87.08631980241509,35,32.407407407407405
Petite Soeur,Peros Banhos West,Peros Banhos,PETS,PEBA,petite_soeur,-5.363282,71.75526,present,41.5,31.1,0,0,9.9,0,0.5,74.93975903614458,0,0,23.85542168674699,0,1.2048192771084338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,3,0,2,9,Petit Souer,41,47,86.90710614842322,87.37370316572658,44,87.1404046570749,9.9,23.85542168674699
Grand Soeur,Peros Banhos West,Peros Banhos,GRAS,PEBA,grand_soeur,-5.344322,71.749741,present,64,43.4,0,0.1,16,3.2,1.28,67.8125,0,0.15625,25,5,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,7,0,4,3,0,3,15,Grand Souer,41,47,86.90710614842322,87.37370316572658,44,87.1404046570749,16.1,25.15625
Finon,Peros Banhos West,Peros Banhos,FINO,PEBA,finon,-5.332507,71.744681,present,1.3,0.2,0,0.2,0.7,0,0.2,15.384615384615383,0,15.384615384615383,53.84615384615385,0,15.384615384615383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,0,2,2,Finon,40,44,88.60223919113116,89.63942932032207,42,89.1208342557266,0.8999999999999999,69.23076923076923
Verte,Peros Banhos West,Peros Banhos,VERT,PEBA,verte,-5.328935,71.743485,present,3.8,0.7,0,0.2,2.8,0,0.1,18.421052631578945,0,5.2631578947368425,73.68421052631578,0,2.6315789473684212,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,1,3,0,3,5,Verte,40,44,88.80530498580833,89.8819207351668,42,89.34361286048757,3,78.94736842105263
Burtle (Not Named),Peros Banhos West,Peros Banhos,BURT,PEBA,burtle_not_named,-5.325452,71.741736,present,2.4,0.5,0,0.1,1.7,0,0.1,20.833333333333336,0,4.166666666666667,70.83333333333334,0,4.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,1,1,Unnamed (Burtle),39,43,89.18421618293773,90.31321727859272,41,89.74871673076522,1.8,75.00000000000001
Manon,Peros Banhos West,Peros Banhos,MANN,PEBA,manon,-5.315397,71.736523,present,2.2,0.6,0,0.3,1.1,0,0.2,27.27272727272727,0,13.636363636363637,50,0,9.090909090909092,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,15,10,5,3,0,4,33,Manon,39,43,90.2045728777455,91.48247748576873,41,90.84352518175712,1.4,63.63636363636363
