Island,Group,Atoll,lat,lon,Rattus.rattus,Ardenna.pacifica,Puffinus.bailloni,Phaethon.lepturus,Phaethon.rubricauda,Sula.dactylatra,Sula.sula,Sula.leucogaster,Fregeta.minor,Fregeta.ariel,Thalasseus.bergii ,Sterna.dougallii ,Sterna.sumatrana ,Sternula.albifrons,Onychoprion.anaethetus,Onychoprion.fuscatus ,Anous.stolidus ,Anous.tenuirostris ,Gygis.alba 
Coin du Mire,Peros Banhos East,Peros Banhos,-5.427849,71.881207,A,2,0,0,0,24,0,0,0,0,0,4,1,0,21,0,0,0,0
Vache Marine,Peros Banhos East,Peros Banhos,-5.424362,71.830215,E,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,5,0,7
Fouquet (PEBA),Peros Banhos West,Peros Banhos,-5.463051,71.811292,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3
Mapou du Coin,Peros Banhos West,Peros Banhos,-5.462513,71.792553,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5
Boddam,Salomon Islands,Salomon Islands,-5.359236,72.206099,P,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,25,10,30
Diable,Salomon Islands,Salomon Islands,-5.346204,72.203988,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Anglaise (SOIS),Salomon Islands,Salomon Islands,-5.325724,72.222645,P,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,10,15
Passe (SOIS),Salomon Islands,Salomon Islands,-5.302744,72.253219,A,0,0,2,0,0,27,4,0,0,0,0,0,0,0,0,40,400,25
Mapou,Salomon Islands,Salomon Islands,-5.311378,72.264922,A,0,0,1,0,0,100,0,0,0,0,0,0,0,0,0,60,1600,13
Takamaka,Salomon Islands,Salomon Islands,-5.331605,72.27098,P,0,0,5,0,0,302,0,0,0,0,0,25,0,0,0,65,100,25
Fouquet (SOIS),Salomon Islands,Salomon Islands,-5.341506,72.266621,P,0,0,1,0,0,17,0,0,0,0,3,53,0,0,0,25,0,10
Sepulture,Salomon Islands,Salomon Islands,-5.349482,72.253583,P,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,1
Jacobin,Salomon Islands,Salomon Islands,-5.350455,72.245396,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,2
Sel,Salomon Islands,Salomon Islands,-5.354883,72.226799,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1
Poule (SOIS),Salomon Islands,Salomon Islands,-5.358853,72.221095,P,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,1,0,1
