Island,Group,Atoll,Year,forage_avail,forage_access
Sel,Salomon Islands,Salomon Islands,2022,56,66.29992727243608
Sel,Salomon Islands,Salomon Islands,2023,64,71.79044620223715
Sepulture,Salomon Islands,Salomon Islands,2022,58,65.47803787433014
Sepulture,Salomon Islands,Salomon Islands,2023,66,72.2510707441477
South Brother,Brothers,Great Chagos Bank,2022,43,82.78896024683492
South Brother,Brothers,Great Chagos Bank,2023,58,71.55705756619902
Sudest complex,Egmont Islands,Egmont Islands,2022,35,63.01966216811816
Sudest complex,Egmont Islands,Egmont Islands,2023,52,72.74864371633738
Takamaka,Salomon Islands,Salomon Islands,2022,58,64.28949997991589
Takamaka,Salomon Islands,Salomon Islands,2023,66,73.57417193113386
Unnamed (Burtle),Peros Banhos West,Peros Banhos,2022,39,89.18421618293773
Unnamed (Burtle),Peros Banhos West,Peros Banhos,2023,43,90.31321727859273
Unnamed (Marlin),Peros Banhos East,Peros Banhos,2022,45,78.46964271341814
Unnamed (Marlin),Peros Banhos East,Peros Banhos,2023,47,84.9201999591144
Vache Marine,Peros Banhos East,Peros Banhos,2022,47,80.92080662885472
Vache Marine,Peros Banhos East,Peros Banhos,2023,50,82.22932670327107
Verte,Peros Banhos West,Peros Banhos,2022,40,88.80530498580833
Verte,Peros Banhos West,Peros Banhos,2023,44,89.8819207351668
West Island,Diego Garcia,Diego Garcia,2022,29,89.09671419083608
West Island,Diego Garcia,Diego Garcia,2023,62,87.18184134831175
Yeye,Peros Banhos East,Peros Banhos,2022,45,74.54582858464077
Yeye,Peros Banhos East,Peros Banhos,2023,47,84.43918475957146
